display_no,production_id,legacy_id,construct,question,evidence_role,answer_type,answer_options,stored_values,response_spec_status,response_source,final_weight,weight_status,legacy_response_weight,conditional
1,CTX001,Q01,Energy goal / desired improvement,Would you like to have more energy during the day?,Goal/context,single_select,"[""Yes"", ""No""]","[1, 0]",provisional_locked,question-spec,,TBD - scoring phase,1.0,False
2,IMM001,Q02,Frequency of becoming unwell,How often do you find yourself becoming unwell?,Direct/supporting,frequency_4,"[""Rarely"", ""Occasionally"", ""Several times a year"", ""Frequently""]","[0, 0.33, 0.67, 1]",provisional_locked,question-spec,,TBD - scoring phase,1.0,False
3,DIG001,Q03,Bad breath / unusual body odour,Which of the following have you noticed recently or repeatedly? Select any that apply.,Context,multi_select,"[""Bad breath"", ""Unusual body odour"", ""Neither""]","{""Bad breath"": 1, ""Unusual body odour"": 1, ""Neither"": 0}",provisional_locked,question-spec,,TBD - scoring phase,1.0,False
4,DIG002,Q04,Difficulty digesting certain foods,How often do you have difficulty digesting certain foods?,Direct,frequency_5,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Very often""]","[0, 0.25, 0.5, 0.75, 1]",provisional_locked,question-spec,,TBD - scoring phase,1.0,False
5,NUT001,Q05,Red meat frequency,"How often do you eat red meat, such as beef, lamb or pork?",Supporting,frequency_5,"[""Never"", ""Less than once a week"", ""1–2 times a week"", ""3–4 times a week"", ""5 or more times a week""]","[0, 0.25, 0.5, 0.75, 1]",provisional_locked,question-spec,,TBD - scoring phase,1.0,False
6,SAF001,Q06,Antibiotic / medication context,Retained construct; exact final wording requires canonical reconciliation.,Context/safety,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
7,NUT002,Q07,Alcohol exposure,Quantified typical weekly UK units; exact final response wording requires committed question set.,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
8,MND001,Q08,Mood variability,Retained construct; exact final wording requires canonical reconciliation.,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
9,SAF002,Q09,Allergy / sensitivity context,Retained construct; exact final wording requires canonical reconciliation.,Safety,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
10,EXP001,Q11,Tobacco exposure,Retained construct; exact final wording requires canonical reconciliation.,Evidence/context,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
11,COG001,Q12,Concentration / memory,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
12,IMM002,Q13,Susceptibility to illness,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
13,DIG003,Q14,Post-meal symptoms,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
14,MND002,Q15,Stress,Retained construct; exact final wording requires canonical reconciliation.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
15,PHY001,Q16,Skin condition,Retained with conditional follow-up.,Context/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
16,PHY002,Q16b,Impact of skin condition,Conditional follow-up shown when Q16 establishes relevance.,Conditional,quality_5,"[""Not at all"", ""A little"", ""Moderately"", ""A lot"", ""Severely""]",,provisional,question-spec,,TBD - scoring phase,,True
17,NUT003,Q17,Food cravings,Retained construct; exact final wording requires canonical reconciliation.,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
18,NUT004,Q18,Dairy consumption,Retained construct; exact final wording requires canonical reconciliation.,Supporting/context,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
19,MND003,Q19,Flat / low motivation,"Retained construct; primarily Mood/Stress, not Energy.",Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
20,SLP001,Q20,Sleep quality,Retained construct; exact final wording requires canonical reconciliation.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
21,SLP002,Q21,Night-time urination,Retained construct; non-specific sleep/context signal.,Context/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
22,EXP002,Q22,Social-media usage,"On a typical day, how much time do you spend using social media?",Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
23,PHY003,Q23,Hair shedding / thinning,Retained construct; exact final wording requires canonical reconciliation.,Context,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
24,NUT005,Q24a,Fried / ready-food exposure,Retained construct; exact final wording requires canonical reconciliation.,Supporting,,,,canonical reconciliation required,registry only,,TBD - scoring phase,,False
25,SAF003,Q24b,Diagnosed lipid issue,Retained as context/modifier; does not itself create a wellness deficit.,Context/modifier,,,,canonical reconciliation required,registry only,,TBD - scoring phase,,False
26,NUT006,Q25,Weight-management difficulty,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
27,PHY004,Q26,Physical stamina / capacity,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
28,PHY005,Q26b,Breathlessness follow-up,Conditional follow-up where Q26 establishes relevance.,Conditional,,,,canonical reconciliation required,registry only,,TBD - scoring phase,,True
29,NUT007,Q27,Overall eating pattern,Retained construct; exact final wording requires canonical reconciliation.,Supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
30,IMM003,Q28,Recovery after illness,Retained construct; exact final wording requires canonical reconciliation.,Direct/supporting,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
31,DIG004,Q29,Bowel regularity / comfort,Retained construct; exact final wording requires canonical reconciliation.,Direct,radio,"[""Yes"", ""No""]","[1, 0]",legacy-current-only,questions.json / legacy SuperForms,,TBD - scoring phase,1.0,False
