Order,id,question,decision,original_intent,original_rationale_status,modern_science,evidence_level,recommendation_role,wording,Question,Current wording,Decision,Original intent from explanation,Current scientific interpretation,Evidence level,Review action,PWB role,Historical intent,2026 design status,Original scoring mappings (from form code),Original mapping count
1,Q01,I would like more energy,Keep / refine,"Likely intended to identify low perceived energy as a direct wellness concern. The supplied scoring mappings connect Q1 to multiple systems, especially Circulatory, Nervous and Glandular.",Inferred from the question and system mappings; the doctors' written rationale is not present in the supplied files.,Perceived fatigue/low energy is a non-specific symptom with many possible causes. It is useful primarily as a self-reported outcome signal rather than as evidence of a specific biological deficiency.,Moderate for use as a symptom/outcome signal; low for attributing a specific cause.,Direct signal for More Energy; supporting signal for other relevant outcomes. Do not infer a diagnosis or nutrient deficiency from Q1 alone.,"Keep the simple user-facing wording, potentially: 'I would like to have more energy.'",,,,,,,,,,Pending whole-model review,digestive_system; circulatory_system; nervous_system; urinary_system; currently_feeling,5
2,Q02,I have frequent ill health (once or twice annually),Keep / modernise,Likely intended to capture general resilience/frequency of ill health. Mapped to Immune-related scoring.,Inferred from question and mapping.,"Frequency of acute illness is a crude proxy for health/resilience and is strongly affected by exposure, season, age and other factors. It should not be presented as a direct measure of immune function.",Limited for interpreting it as an immune-status measure.,"Supporting resilience/immune-context signal, not a diagnosis or direct immune score.",Potentially: 'I seem to get minor illnesses more often than I would like.',,,,,,,,,,Pending whole-model review,medical_conditions,1
3,Q03,I have bad breath and/or body odour,Review / possibly split,Likely intended as a digestive/intestinal exposure or symptom signal.,Inferred from mappings.,"Halitosis has multiple causes, including oral, gastrointestinal and other factors; body odour has a different and much broader set of causes. Combining them reduces specificity.",Moderate for halitosis as a symptom with multiple causes; weak for treating halitosis/body odour as one biological signal.,"If retained, use primarily as a contextual symptom signal. Consider separating oral/breath issues from general body odour.",Prefer a more specific question if the original clinical rationale can be confirmed.,,,,,,,,,,Pending whole-model review,digestive_system; intestinal_system; urinary_system; physical_symptoms,4
4,Q04,I have difficulty digesting certain foods,Keep,Directly identify perceived difficulty digesting foods; strongly mapped to Digestive/Intestinal.,Strongly supported by the question and system mappings.,"Useful symptom-level information, but 'difficulty digesting' can encompass several different experiences and should not be equated with a diagnosed digestive disorder.",Moderate for symptom capture; limited for identifying a specific mechanism.,Direct Digestive & Gut Health signal.,"Potentially refine to distinguish discomfort, bloating, reflux or bowel symptoms if the model needs more specificity.",,,,,,,,,,Pending whole-model review,digestive_system; lifestyle_nutrition,2
5,Q05,I usually eat red meat at least twice per week,Keep / modernise,Likely intended to capture dietary red-meat exposure as relevant to Circulatory and broader metabolic/intestinal scoring.,Inferred from the question and its body-system mappings.,"Current evidence supports an association between higher red-meat consumption and CVD/diabetes risk, with stronger associations reported for processed meat. Evidence is not equivalent to a simple causal statement, and substitution matters.",Moderate for the population-level association; stronger for processed meat than for unprocessed meat in some outcomes.,Dietary exposure signal that can inform cardiovascular/metabolic food recommendations. Should not itself imply cardiovascular disease.,Consider frequency bands and distinguishing processed from unprocessed meat rather than a single twice-weekly threshold.,,,,,,,,,,Pending whole-model review,intestinal_system; circulatory_system; lifestyle_nutrition,3
6,Q06,I have had antibiotics or medication in the last 3 years,Modernise / split,Likely intended to capture medication/antibiotic exposure as a factor relevant to intestinal/immune systems.,Inferred from mappings.,"Recent antibiotic exposure is biologically relevant to the gut microbiome, but 'antibiotics or medication in the last 3 years' is too broad to interpret as one exposure. Medication effects vary substantially by drug and indication.",Strong for antibiotics affecting the gut microbiome; limited for the combined 'antibiotics or medication' question.,Consider a specific antibiotic-exposure context question and keep general medication status in Q48 safety context.,Separate 'antibiotics recently' from 'ongoing medication/medical supervision'.,,,,,,,,,,Pending whole-model review,intestinal_system; medical_conditions,2
7,Q07,I regularly consume alcohol,Keep / refine,"Capture alcohol exposure as a lifestyle factor, mapped to Nervous/Glandular and other systems.",Inferred from mappings.,"Alcohol exposure is relevant to multiple health outcomes, but 'regularly' is too vague to quantify exposure.",Strong for alcohol as a health exposure; questionnaire precision is the issue.,"Useful lifestyle exposure signal, especially where sleep, stress, weight and cardiovascular outcomes are relevant.",Use frequency/quantity bands rather than yes/no 'regularly'.,,,,,,,,,,Pending whole-model review,nervous_system; glandular_system; lifestyle_nutrition,3
8,Q08,I experience mood swings,Keep,"Capture mood variability, mapped to Nervous/Glandular and now relevant to Stress, Sleep and Menopause outcomes.",Supported by current outcome mapping and system mappings.,Mood swings are non-specific and may have many causes; useful as a symptom/context signal but not diagnostic.,Moderate for symptom capture; low for causal interpretation.,"Supporting signal for Stress, Sleep and Menopause; should not be treated as a diagnosis.","Current wording is acceptable, though a frequency/severity qualifier could improve discrimination.",,,,,,,,,,Pending whole-model review,nervous_system; glandular_system; currently_feeling,3
9,Q09,I have food allergies,"Keep, but move partly to profile/safety","Capture food allergy exposure/context, mapped to several systems in the original scoring.",The question clearly identifies allergy context; the breadth of its body-system scoring is less clear from the supplied rationale.,Food allergy is primarily a safety/eligibility issue rather than a general wellness deficit.,Strong for safety/eligibility relevance.,Hard dietary exclusion/safety filter. It should not inflate a body-system wellness score merely because a food allergy is present.,"Prefer 'I have a diagnosed food allergy' or equivalent, with allergy details collected separately if needed.",,,,,,,,,,Pending whole-model review,digestive_system; lifestyle_nutrition,2
10,Q10,I can get dark circles under my eyes,Review,"Likely intended as a visible/physical symptom signal, mapped to Circulatory/Nervous/Urinary in the original structure.",Inferred from mappings; no written rationale supplied.,"Dark circles under the eyes are non-specific and can reflect genetics, pigmentation, vascular factors, sleep, allergies and other causes. They are a weak proxy for a specific body-system condition.",Limited as a general wellness indicator.,Low-priority contextual signal unless the original doctors' rationale can be established.,Consider removal or replacement if questionnaire space is needed for a higher-value modern exposure.,,,,,,,,,,Pending whole-model review,circulatory_system; nervous_system; urinary_system; physical_symptoms,4
